driver_age,postcode_risk,vehicle_value,theft_risk,years_licensed,vehicle_year,annual_km,claims_5y,convictions_5y,excess,usage,parking,hire_car,windscreen,rating,premium
60.18774827509249,0.38415244766212275,66020.53793689766,0.2946560560661099,41,2010,21465,4,4,1474,private,garage,premium,no,market,5068.55
69.77504258071494,0.6832425428296016,137681.13724840072,0.9140691946010998,33,2020,4832,0,1,2433,business,driveway,basic,yes,market,4974.93
63.29110858950866,0.3097319353925984,122779.09120450358,0.3983754866217105,40,2013,28936,5,1,4769,private,driveway,basic,yes,market,6514.97
30.300107688294425,0.5416339098028919,107932.62450982226,0.7057265036767987,14,1998,22457,5,0,4481,commute,garage,none,yes,market,8116.42
74.18967081053523,0.7284370597976447,25470.900439902558,0.3021901882893615,7,2017,40662,0,1,1219,commute,street,premium,yes,agreed,1766.2
79.16248509617299,0.911696974293267,195614.61830817864,0.16136193608923888,22,2001,37264,6,6,1151,private,garage,none,yes,agreed,23438.69
33.624234472607796,0.7735548103071567,156095.83745416376,0.23158321995610326,17,2006,49958,3,5,4817,private,garage,premium,yes,market,14250.45
24.767614759265744,0.2677262984064934,180777.19714272176,0.0893032152638477,8,2012,54427,1,6,4681,private,garage,basic,no,market,12039.31
41.74109976431923,0.5902382178748402,78673.14534348738,0.6003681134875504,25,2026,59551,1,6,454,business,street,premium,no,agreed,9479.37
87.4216172158484,0.4185229853017435,93346.40255560375,0.4094735679542143,8,2013,28703,2,0,3860,commute,driveway,basic,no,agreed,3528.62
67.32227397788282,0.9830958257363448,114736.03595239874,0.0348684014529682,6,2019,45061,2,1,26,business,street,none,no,market,8373.35
47.38926255720426,0.4737852463112967,141983.9902814638,0.14633824944243012,4,2022,53623,1,5,896,commute,driveway,premium,yes,market,8095.16
38.01702025131162,0.19113808066354152,49793.548602726565,0.4834906997341255,13,2006,19309,6,5,1602,business,driveway,basic,no,market,5788.32
77.71672186800217,0.0987811175818378,172424.38826091334,0.9891949104553207,61,1998,11282,1,1,659,private,street,premium,no,market,9269.79
19.824939577229266,0.12251929689477836,19435.283049704496,0.8704264321862318,3,2024,41962,5,4,2085,private,street,premium,no,agreed,5908.96
50.32421349447447,0.6069876241804656,165936.1508913796,0.8151975049031307,5,2019,49732,0,3,618,commute,street,none,no,agreed,9962.88
55.09560450388401,0.021943921987602616,36089.80056839058,0.6890364515510985,21,2001,29826,3,4,1569,business,driveway,none,yes,agreed,3844.48
85.8149212174288,0.2031908628052088,10500.119407122686,0.7882499428708013,35,1998,36219,3,1,3170,business,garage,premium,no,agreed,2095.9
43.11315664604655,0.8718358694616182,85848.6025316305,0.515618332069102,27,1998,58008,1,4,907,business,street,premium,no,market,11858.27
20.99374731978992,0.8276789700328998,61109.91044150955,0.5644164051965123,4,2020,50972,0,4,545,private,street,none,yes,market,10281.44
80.0130618458607,0.2117403011560841,186335.12850775965,0.02237994913214669,56,2008,50851,1,0,2534,commute,garage,premium,no,agreed,3948.9
19.608304261957656,0.12376106851328658,45247.863538815436,0.0559581782258877,3,2023,49687,0,0,4660,private,garage,none,no,agreed,1473.76
24.869433545410782,0.2784482152798256,147770.20346352016,0.3252281459755988,8,1999,22653,1,0,2160,private,garage,basic,yes,market,5861.49
26.844385820267608,0.8236733167733693,51145.37076494524,0.5428649812745016,2,2021,47679,1,4,1330,commute,street,basic,yes,agreed,6148.71
43.23248823256283,0.8210457970614057,110433.36005395546,0.49564050591799763,24,1998,49815,0,2,1087,business,garage,premium,no,market,6757.23
56.65628047086864,0.15004189886213437,153946.92575708806,0.10136516224328798,13,2011,12832,0,0,3937,private,driveway,basic,yes,agreed,2237.76
52.4219821324573,0.31390366520817564,167621.2268468819,0.15861586039125988,24,2007,14925,1,0,3702,business,driveway,none,yes,agreed,4086.18
45.82646299016119,0.21742592327425503,181433.21900766945,0.2802217980837021,24,2005,27284,0,0,2149,private,driveway,none,yes,market,3306.96
84.76281163284126,0.16636405205626975,160771.50753779025,0.0,59,2009,57939,1,0,2430,commute,driveway,premium,no,market,3518.89
83.35117028893708,0.25787615331494645,181265.057570264,0.053268551695471664,67,2008,50085,1,0,2581,commute,garage,basic,no,agreed,3887.29
71.73648430710223,0.266467032311347,51888.79217913117,0.08931678828364456,26,2023,57747,0,0,3313,private,garage,basic,no,agreed,976.18
56.19933056121146,0.0029017159769029986,124754.10897336142,0.11215005893014506,31,2011,58217,1,0,1956,commute,garage,none,yes,agreed,2109.35
60.67506224686051,0.3402198132979575,66745.65820706442,0.3041182180402754,44,2012,26947,0,0,3159,private,garage,premium,yes,agreed,1598.22
90.0,0.293074841764155,187417.6228573555,0.1773560032998474,64,2004,50744,1,0,3221,private,garage,basic,no,agreed,4541.05
87.05269449991464,0.1370838707856921,159222.2532569035,0.062170104513311474,70,2004,53242,0,0,2393,business,garage,premium,no,agreed,3264.17
86.46859996036997,0.14577043285792615,3772.4105514805624,0.14798357237743776,5,2011,15630,1,0,212,business,driveway,none,yes,agreed,837.36
29.910966467219716,0.006463235513813728,98112.15924620737,0.16577747858103745,13,2017,23855,1,0,677,business,garage,none,no,agreed,2425.99
21.06050216096336,0.16012990694835996,114239.19189882466,0.21528390691710836,3,2003,55499,0,0,2280,commute,driveway,none,no,market,3563.94
47.366269793899875,0.06492280238378874,131705.65170079473,0.017681424367927037,23,2014,55781,1,0,2046,business,garage,none,yes,market,2313.63
75.31233959256457,0.26476072993482763,50249.59844520986,0.06701980377006689,17,2023,56606,1,0,3579,private,garage,basic,no,market,1166.21
70.78895646731254,0.26564830472532264,182300.6019594954,0.09085955497984523,54,2025,42541,0,0,4802,business,driveway,basic,yes,market,3156.68
59.72466520631618,0.11494551568832038,89213.58790213504,0.14387088539375656,23,2002,45903,0,0,571,private,driveway,basic,no,agreed,2142.6
35.87602436050708,0.1286318053102196,42153.11238117632,0.30286550350654445,19,2026,16237,0,0,2633,business,driveway,premium,yes,market,955.37
79.36103953042928,0.05856057506114845,17223.69236428858,0.14459538412305625,17,2009,9688,1,0,313,business,garage,none,yes,agreed,948.46
20.21198884279864,0.0,113195.13769521216,0.0709767558558299,4,2015,25607,1,0,856,private,garage,none,no,market,3782.87
